Anime,Genre_Tags,Source,Nb_Episodes,Status,Studio,Date_Pub,Note_Globale,Note_Meilleur_Ep,Meilleur_Ep_Titre,Comm_Meilleur_Ep,Note_Pire_Ep,Pire_Ep_Titre,Comm_Pire_Ep,Comm_Saison_1,Comm_Saison_2,Comm_Saison_3
"Naruto","Action / Shonen","Manga",220,"Fini","Studio Pierrot","2002-10-03",8.4,9.6,"Ep 133: Le cri des larmes","Animation fluide et combat viscéral incroyable.",5.8,"Ep 26: Journal de Konoha (Recap)","Remplissage inutile, à sauter.","Arc Zabuza très émouvant, bases solides.","Examen Chuunin introduit une tension sombre.","Combat Lee vs Gaara légendaire."
"Trigun","Sci-Fi / Action","Manga",26,"Fini","Madhouse","1998-04-01",8.2,9.1,"Ep 24: Le péché (Sin)","Conclusion tragique de l'arc Wolfwood, émotion pure.",6.5,"Ep 13: Vash the Stampede (Recap)","Résumé de mi-saison qui casse le rythme.","Début western comique, Vash joue l'idiot.","Virage dramatique sombre avec les Gung-Ho Guns.","Révélations philosophiques sur le passé et Knives."
"Dragon Ball Z","Action / Shonen","Manga",291,"Fini","Toei Animation","1989-04-26",8.7,9.4,"Ep 237: Le sacrifice d'un père","Rédemption ultime de Vegeta, sommet émotionnel.",5.9,"Ep 39: Amis ou ennemis (Fake Namek)","Filler ennuyeux sur une fausse planète, inutile.","Introduction des Saiyans et codes du Shonen posés.","Aventure spatiale et tension tactique sur Namek.","Transformation Super Saiyan iconique, combat épique."
"Fullmetal Alchemist: Brotherhood","Aventure / Military","Manga",64,"Fini","Bones","2009-04-05",9.1,9.6,"Ep 63: De l'autre côté de la porte","Sacrifice thématique parfait, conclusion magistrale.",6.3,"Ep 27: Intermède (Recap)","Episode récapitulatif cassant le rythme.","Début effréné, traumatisme Nina Tucker marquant.","Complot politique et Mustang brille contre Lust.","Ambiance militaire froide à Briggs, tension monte."
"Cowboy Bebop","Sci-Fi / Noir","Original",26,"Fini","Sunrise","1998-04-03",8.8,9.7,"Ep 26: The Real Folk Blues Pt.2","Fin poétique et iconique. Bang.",7.2,"Ep 23: Boogie Woogie Feng Shui","Intrigue faible et rythme un peu mou.","Formation de l'équipe et choc visuel à l'église.","Exploration mélancolique du passé (Jupiter Jazz).","Confrontation fatale avec le Syndicat et Vicious."
"Sword Art Online","Isekai / Romance","Light Novel",25,"Fini","A-1 Pictures","2012-07-08",7.2,8.9,"Ep 9: Le démon aux yeux bleus","Hype absolue, révélation du Dual Wield.",5.9,"Ep 22: La grande quête (Alfheim)","Rythme lent et enjeux faibles dans l'arc des fées.","Concept 'Jeu de la mort' accrocheur, romance forte.","Chute de qualité, méchant caricatural et moins de tension.","Retour en force avec Gun Gale Online et ton plus mature."
"Re:Zero","Isekai / Psychologique","Light Novel",50,"Fini","White Fox","2016-04-04",8.2,9.8,"Ep 15: L'extérieur de la folie","Chef d'oeuvre d'horreur et de désespoir, fin légendaire.",7.6,"Ep 13: Le chevalier autoproclamé","Episode gênant (cringe) voulu par le scénario, dur à voir.","Boucle temporelle et basculement vers le thriller psycho.","Arc Sanctuaire dense en dialogues et passé des sorcières.","Résolution intelligente, Subaru grandit et utilise son pouvoir."
"Dr. Stone","Sci-Fi / Adventure","Manga",57,"En cours","TMS Entertainment","2019-07-05",8.3,9.1,"Ep 24: Les voix vers l'infini","Conclusion S1 émouvante, lien passé-futur sublime.",7.1,"Ep 14: Master of Flame","Rythme un peu plus lent, préparation de tournoi.","Le réveil dans un monde de pierre, la science contre la force.","Stone Wars : Conflit idéologique et batailles tactiques.","New World : Exploration maritime et découverte du 'Pourquoi'. "
"One Piece","Adventure / Shonen","Manga",1090,"En cours","Toei Animation","1999-10-20",8.7,9.8,"Ep 1015: Chapeau de Paille Luffy","Réalisation cinéma époustouflante, sommet de Wano.",5.6,"Ep 336: Chopperman (Filler)","Episode hors-série enfantin totalement dispensable.","Saga East Blue : La formation de l'équipage, nostalgie pure.","Saga Alabasta : Premier grand défi géopolitique contre un Corsaire.","Saga Skypiea/Water 7 : Aventure céleste puis drame interne majeur."
"Blue Lock","Sport / Thriller","Manga",36,"En cours","8bit","2022-10-09",8.2,9.3,"Ep 11: La dernière pièce","Le puzzle s'assemble, le but d'Isagi est jouissif.",6.0,"Ep 22: Voice (S2)","Qualité d'animation en baisse critique, beaucoup de plans fixes.","Concept Battle Royale de foot, égoïsme pur mis en avant.","Sélection U-20, enjeux d'équipe vs individualité.","(Non diffusé)"
"Haikyuu!!","Sport / Volley","Manga",85,"Fini","Production I.G","2014-04-06",8.7,9.9,"Ep 10 (S3): La bataille de concepts","Match Karasuno vs Shiratorizawa. Tension irrespirable.",7.5,"Ep 15 (S4): Found","Animation parfois instable dans la S4, mais reste correct.","Formation de l'équipe, duo Hinata/Kageyama explosif.","Développement des rivaux et tournois qualificatifs.","Saison 3 entière dédiée à un seul match légendaire."
"One Punch Man","Action / Comedy","Web Manga",24,"En cours","Madhouse","2015-10-05",8.5,9.6,"Ep 12: Le plus fort des héros","Saitama vs Boros. L'apogée de l'animation japonaise moderne.",6.8,"Ep 14 (S2): Le monstre humain","Changement de studio (JC Staff), baisse visuelle critiquée.","Saison 1 légendaire par Madhouse, satire parfaite des héros.","Saison 2 introduit Garou, histoire plus dense mais anim moins bonne.","(Non diffusé - En production)"
"Solo Leveling","Action / Fantasy","Manhwa",12,"En cours","A-1 Pictures","2024-01-07",8.3,9.5,"Ep 12: Arise (Lève-toi)","Le moment que tous les fans attendaient. Frissons garantis.",6.2,"Ep 7.5: Recap","Episode récapitulatif de mi-saison inutile sur 12 épisodes.","Jinwoo passe de faible à 'Monarque'. Progression addictive.","(Saison 2 annoncée)","(Non diffusé)"
"Les Carnets de l'apothicaire","Mystery / Historical","Light Novel",24,"En cours","OLM","2023-10-22",8.8,9.5,"Ep 19: Maomao","Scène de danse/sacrifice visuellement magnifique et tragique.",7.9,"Ep 7: Retour à la maison","Rythme plus posé, enquête mineure, mais reste très bon.","Enquêtes à la cour impériale, Maomao est une héroïne cynique géniale.","Complots politiques s'épaississent, passé de Maomao révélé.","(Saison 2 annoncée)"
"Medalist","Sport / Figure Skating","Manga",3,"En cours","ENGI","2025-01-05",8.0,8.2,"Ep 1: Coach et Élève","Début prometteur, la passion du patinage est bien là.",0.0,"(Trop récent)","Pas assez de données pour le pire épisode.","Rencontre entre un coach raté et une prodige passionnée.","(Non diffusé)","(Non diffusé)"
"Du mouvement de la Terre","Historical / Drama","Manga",8,"Fini","Madhouse","2024-10-05",8.4,8.9,"Ep 8: La vérité","Conclusion philosophique puissante sur la science et la foi.",7.8,"Ep 2: L'hérétique","Mise en place un peu dense des concepts astronomiques.","Lutte intellectuelle et tortures pour prouver l'héliocentrisme.","(Série courte en 1 saison unique)","(Non diffusé)"
"Samurai Champloo","Adventure / Chanbara","Original",26,"Fini","Manglobe","2004-05-20",8.5,9.2,"Ep 26: Evanescent Encounter","Fin stylée et mélancolique. Le voyage valait le coup.",7.4,"Ep 22: Cosmic Collisions","Episode 'Zombies' étrange qui divise les fans (aimé ou détesté).","Mélange Hip-hop et Samouraïs, voyage épisodique cool.","Exploration du passé sombre des protagonistes.","Conclusion du voyage vers le 'Samouraï qui sent le tournesol'."
"L'Attaque des Titans","Action / Mystery","Manga",89,"Fini","Wit Studio / MAPPA","2013-04-07",8.5,9.9,"Ep 54: Héros (Hero)","Note quasi parfaite. Le sacrifice d'Armin et le discours d'Erwin.",6.8,"Ep 14: On ne peut rien y faire (Recap)","Un résumé avant le tribunal, casse le rythme de la S1.","La chute du mur et la peur primale des Titans.","Le complot politique et la révélation du Titan Cuirassé.","Le retour à Shiganshina et la découverte de la cave (Vérité)."
"Death Note","Thriller / Supernatural","Manga",37,"Fini","Madhouse","2006-10-04",8.6,9.5,"Ep 25: Silence","La mort de L. Un tournant scénaristique choquant et brillant.",7.2,"Ep 26: Régénération","Transition brutale après le climax, introduction de Near/Mello.","Le duel intellectuel Kira vs L, tension psychologique maximale.","L'arrivée de Misa et la complexification des règles du cahier.","La seconde partie avec Near et Mello (souvent jugée inférieure)."
"Hunter x Hunter (2011)","Adventure / Shonen","Manga",148,"Fini","Madhouse","2011-10-02",9.0,9.7,"Ep 131: Colère x et x Lumière","La transformation de Gon. Animation et émotion terrifiantes.",5.9,"Ep 13: Lettre x de x Gon (Recap)","Episode résumé très tôt dans la série, inutile.","Examen Hunter : Aventure pure et découverte des amis.","Yorknew City : Ambiance noire, Kurapika vs la Brigade Fantôme.","Chimera Ant : L'arc le plus sombre et philosophique du Shonen."
"Code Geass","Sci-Fi / Mecha","Original",50,"Fini","Sunrise","2006-10-06",8.7,9.8,"Ep 50: Re;","Le 'Zero Requiem'. Considéré comme la meilleure fin d'animé jamais écrite.",7.1,"Ep 6: Le masque volé","Episode 'humour' au lycée avec un chat, détonne avec le sérieux.","La rébellion de Lelouch et la stratégie militaire avec le Geass.","La chute et l'exil, perte de mémoire et reconstruction.","La conquête mondiale et le sacrifice final pour la paix."
"Steins;Gate","Sci-Fi / Thriller","Visual Novel",24,"Fini","White Fox","2011-04-06",9.1,9.7,"Ep 22: Being Meltdown","Le choix impossible entre Kurisu et Mayuri. Sommet émotionnel.",7.8,"Ep 1: Turning Point","Début très lent et confus (voulu), filtre beaucoup de spectateurs.","Mise en place lente, tranche de vie et théories temporelles.","Basculement dans le thriller, course contre la montre pour sauver Mayuri.","Dénouement et atteinte de la ligne d'univers Steins Gate."
"GTO","Comedy / Slice of Life","Manga",43,"Fini","Studio Pierrot","1999-06-30",8.7,9.2,"Ep 43: La dernière leçon","Conclusion émouvante de la carrière d'Onizuka.",7.4,"Ep 34: Gangsters","Histoire un peu tirée par les cheveux avec des Yakuza.","Onizuka devient prof, leçons de vie non conventionnelles.","Affrontement avec la sous-directrice et élèves difficiles.","Arc final et rédemption des élèves les plus durs."
"Naruto Shippuden","Action / Shonen","Manga",500,"Fini","Studio Pierrot","2007-02-15",8.2,9.7,"Ep 476: Le dernier combat","Naruto vs Sasuke final. Animation d'art et essai sublime.",4.3,"Ep 449: Shinobi Unite (Filler)","Remplissage de mauvaise qualité au milieu de la guerre.","Le sauvetage de Gaara et les retrouvailles froides avec Sasuke.","L'arc Hidan/Kakuzu et la vengeance de Shikamaru.","L'invasion de Pain et le mode Ermite de Naruto."
"Psycho-Pass","Sci-Fi / Police","Original",41,"Fini","Production I.G","2012-10-12",8.3,9.2,"Ep 11: Saint's Supper","Révélation sur le système Sybil et cruauté de Makishima.",6.5,"Ep 18 (S2): Titre S2","La saison 2 est globalement mal aimée (changement de scénariste).","Découverte du Dominator et traque de Makishima (Chef d'oeuvre).","Saison 2 : Akane est cheffe, mais scénario moins fin.","Saison 3 : Nouveaux inspecteurs, intrigue plus politique."
"My Hero Academia","Action / Super Power","Manga",138,"En cours","Bones","2016-04-03",7.9,9.6,"Ep 49: One For All","All Might vs All For One. 'United States of Smash'.",5.5,"Ep 64: Le scoop de la 1-A (Filler)","Episode résumé inutile pour lancer la saison 4.","Entrée à Yuei, Deku reçoit le pouvoir. Ambiance scolaire.","Tournoi sportif et stage, développement de Shoto Todoroki.","Camp d'été et enlèvement de Bakugo, ton plus sombre."
